Name,Nationality,Overall,Club,Value,Position
A. Adnan,Iraq,72,Atalanta,€3.9M,LM
Unai Simón,Spain,72,Athletic Club de Bilbao,€3.9M,GK
J. Gressel,Germany,72,Atlanta United,€4.3M,RM
Rômulo Calsede,Brazil,72,Atlético Mineiro,€3M,ST
G. Castellani,Argentina,72,Atlético Nacional,€2.9M,LCM
J. Lucumi,Colombia,72,Atlético Nacional,€4.6M,LM
H. Palacios,Colombia,72,Atlético Nacional,€3.4M,RB
Vágner Corraldo,Brazil,72,Atlético Paranaense,€2.2M,LB
R. Noir,Argentina,72,Atlético Tucumán,€2.7M,LM
G. Núñez,Argentina,72,Atlético Tucumán,€2.9M,LM
J. Mercier,Argentina,72,Atlético Tucumán,€425K,RDM
A. Maher,Netherlands,72,AZ Alkmaar,€3.9M,LCM
O. Idrissi,Netherlands,72,AZ Alkmaar,€4.4M,LW
Santi da Bruma,Brazil,72,Bahia,€1.6M,ST
J. Pohjanpalo,Finland,72,Bayer 04 Leverkusen,€4.2M,ST
I. Kiese Thelin,Sweden,72,Bayer 04 Leverkusen,€3.8M,ST
O. Hurmac?,Turkey,72,BB Erzurumspor,€2.7M,LM
A. Khubulov,Russia,72,BB Erzurumspor,€3.3M,RM
T. Zengin,Turkey,72,Be?ikta? JK,€1.3M,GK
Zhang Xizhe,China PR,72,Beijing Sinobo Guoan FC,€3.3M,RF
F. Lértora,Argentina,72,Belgrano de Córdoba,€2.9M,CDM
C. Puggioni,Italy,72,Benevento,€210K,GK
G. Letizia,Italy,72,Benevento,€2.5M,LB
F. Ricci,Italy,72,Benevento,€3.9M,LW
A. Costa,Italy,72,Benevento,€1.8M,RCB
A. Tello,Colombia,72,Benevento,€5M,RCM
K. Pedersen,Denmark,72,Birmingham City,€3.5M,LB
Jota,Spain,72,Birmingham City,€3.3M,RM
C. Mulgrew,Scotland,72,Blackburn Rovers,€1.8M,CB
João Talocha,Portugal,72,Boavista FC,€2.5M,LB
Rafael Lopes,Portugal,72,Boavista FC,€3.7M,ST
L. Olaza,Uruguay,72,Boca Juniors,€3.6M,LB
M. Cuisance,France,72,Borussia Mönchengladbach,€5.5M,CM
Adrián Burnabão,Brazil,72,Botafogo,€1.6M,LAM
Timo Triano,Brazil,72,Botafogo,€950K,LDM
Jorge Carvallinho,Brazil,72,Botafogo,€950K,RCB
J. Jeanvier,France,72,Brentford,€3.4M,CB
H. Dalsgaard,Denmark,72,Brentford,€2.5M,RB
Y. Bissouma,Mali,72,Brighton & Hove Albion,€5M,CM
B. Kayal,Israel,72,Brighton & Hove Albion,€2.9M,LCM
N. Baker,England,72,Bristol City,€3M,CB
A. Webster,England,72,Bristol City,€3.5M,LCB
T. Kalas,Czech Republic,72,Bristol City,€3.4M,LCB
M. Pack,England,72,Bristol City,€3.5M,LCM
A. Weimann,Austria,72,Bristol City,€3.4M,RS
P. Arajuuri,Finland,72,Brøndby IF,€2.3M,RCB
L. Benito,Switzerland,72,BSC Young Boys,€3.2M,LB
C. Fassnacht,Switzerland,72,BSC Young Boys,€3.9M,RM
J. Nsame,Cameroon,72,BSC Young Boys,€4.2M,ST
P. Bardsley,Scotland,72,Burnley,€1.2M,RB
T. Torun,Turkey,72,Bursaspor,€3.1M,CAM
S. Abdullahi,Nigeria,72,Bursaspor,€3.3M,CB
S. Badji,Senegal,72,Bursaspor,€2.5M,RDM
Allano,Brazil,72,Bursaspor,€4.6M,RM
Roberto Torres,Spain,72,CA Osasuna,€3M,CAM
Fran Mérida,Spain,72,CA Osasuna,€2.8M,CDM
Rubén García,Spain,72,CA Osasuna,€4.2M,LM
Brandon Thomas,Spain,72,CA Osasuna,€4.4M,ST
Álex Fernández,Spain,72,Cádiz CF,€3.5M,CAM
Aketxe,Spain,72,Cádiz CF,€4.3M,CAM
Sergio Sánchez,Spain,72,Cádiz CF,€1.8M,RCB
F. Pisacane,Italy,72,Cagliari,€1.8M,CB
L. Ceppitelli,Italy,72,Cagliari,€2.8M,LCB
F. Romagna,Italy,72,Cagliari,€6M,RCB
A. Cerri,Italy,72,Cagliari,€4.6M,ST
J. Bennett,England,72,Cardiff City,€2.5M,LB
K. Zohore,Denmark,72,Cardiff City,€4.2M,ST
M. Saymak,Netherlands,72,Çaykur Rizespor,€4M,CAM
S. Ujkani,Kosovo,72,Çaykur Rizespor,€2.1M,GK
A. Çamdal?,Germany,72,Çaykur Rizespor,€950K,RDM
S. Koç,Germany,72,Çaykur Rizespor,€3M,RM
Vítor Gomes,Portugal,72,CD Aves,€2.9M,RCM
J. Cuevas,Argentina,72,CD Everton de Viña del Mar,€2.9M,RW
P. Rubio,Chile,72,CD Everton de Viña del Mar,€3.1M,ST
A. Briseño,Mexico,72,CD Feirense,€3.5M,RCB
D. Siovas,Greece,72,CD Leganés,€2.4M,CB
K. Omeruo,Nigeria,72,CD Leganés,€3.7M,CB
Vesga,Spain,72,CD Leganés,€3.5M,CDM
Y. En-Nesyri,Morocco,72,CD Leganés,€4.4M,LS
Cristian Herrera,Spain,72,CD Lugo,€3.6M,LS
Daniel Guimarães,Brazil,72,CD Nacional,€1.9M,GK
Camacho,Portugal,72,CD Nacional,€4.3M,LW
A. Farías,Argentina,72,CD Palestino,€2.3M,RCM
L. Jiménez,Chile,72,CD Palestino,€1.6M,RW
R. Gutiérrez,Chile,72,CD Palestino,€1.4M,ST
B. Acosta,Honduras,72,CD Tenerife,€4.1M,LM
Naranjo,Spain,72,CD Tenerife,€4.3M,LS
H. Droguett,Chile,72,CD Universidad de Concepción,€1.4M,CAM
S. Vittor,Argentina,72,CD Universidad de Concepción,€2.7M,RCB
Marlion Simões,Brazil,72,Ceará Sporting Club,€2.6M,LB
Alessinito,Brazil,72,Ceará Sporting Club,€950K,RDM
Y. Mulumbu,DR Congo,72,Celtic,€2.1M,CDM
T. Oar,Australia,72,Central Coast Mariners,€3.3M,LM
R. McCormack,Scotland,72,Central Coast Mariners,€2.8M,LS
H. Kiyotake,Japan,72,Cerezo Osaka,€3.1M,RM
Luso,Spain,72,CF Rayo Majadahonda,€1.3M,LCB
Porphirinho,Brazil,72,Chapecoense,€2.3M,LDM
Nilsito Vilela,Brazil,72,Chapecoense,€3M,ST
R. Green,England,72,Chelsea,€210K,GK
Lucas Piazon,Brazil,72,Chelsea,€4.2M,RW
S. Pellissier,Italy,72,Chievo Verona,€900K,ST
Fernandinho,Brazil,72,Chongqing Dangdai Lifan FC SWM Team,€2.4M,LM
Sebá,Brazil,72,Chongqing Dangdai Lifan FC SWM Team,€3.7M,LW
M. Iori,Italy,72,Cittadella,€975K,CM
L. Reyes,Mexico,72,Club América,€2.9M,LB
H. Martín,Mexico,72,Club América,€4M,ST
L. Reyes,Chile,72,Club Atlas,€3.5M,CDM
L. Jiménez,Colombia,72,Club Atlas,€2.4M,LCB
A. Andrade,Colombia,72,Club Atlas,€3M,LCM
O. Rivero,Uruguay,72,Club Atlas,€3.9M,ST
N. Bertolo,Argentina,72,Club Atlético Banfield,€2.4M,LM
J. Galván,Argentina,72,Club Atlético Colón,€3.2M,CB
G. Escobar,Argentina,72,Club Atlético Colón,€3.9M,LB
M. González,Argentina,72,Club Atlético Colón,€1M,LM
C. Bernardi,Argentina,72,Club Atlético Colón,€3.1M,RM
J. Correa,Argentina,72,Club Atlético Colón,€4M,ST
O. Alderete,Paraguay,72,Club Atlético Huracán,€4.4M,CB
J. Garro,Argentina,72,Club Atlético Huracán,€3.7M,LM
C. Chimino,Argentina,72,Club Atlético Huracán,€2.2M,RB
I. Damonte,Argentina,72,Club Atlético Huracán,€975K,RCM
G. Sara,Argentina,72,Club Atlético Lanús,€2M,GK
M. Torsiglieri,Argentina,72,Club Atlético Lanús,€2.3M,LCB
F. Quignon,Argentina,72,Club Atlético Lanús,€4.1M,LCM
A. Cubas,Argentina,72,Club Atlético Talleres,€3.7M,RCM
D. Morales,Argentina,72,Club Atlético Tigre,€2.7M,CAM
M. Pérez García,Argentina,72,Club Atlético Tigre,€1.9M,LM
I. Canuto,Argentina,72,Club Atlético Tigre,€1.8M,RCB
L. Menossi,Argentina,72,Club Atlético Tigre,€4M,RDM
S. Decarli,Switzerland,72,Club Brugge KV,€3.2M,CB
K. Letica,Croatia,72,Club Brugge KV,€3.5M,GK
Clinton Mata,Angola,72,Club Brugge KV,€3.7M,RM
L. Montes,Mexico,72,Club León,€2.4M,CAM
A. Mosquera,Colombia,72,Club León,€2.9M,CB
D. Villalpando,Mexico,72,Club Necaxa,€3.6M,CAM
D. Álvarez,Mexico,72,Club Necaxa,€4.2M,RM
C. Riaño,Argentina,72,Club Necaxa,€3.1M,ST
G. Lajud,Mexico,72,Club Tijuana,€2.9M,GK
A. Abedzadeh,Iran,72,Clube Sport Marítimo,€3M,GK
Ricardo Valente,Portugal,72,Clube Sport Marítimo,€3.3M,LM
J. Correa,Argentina,72,Clube Sport Marítimo,€3.9M,RM
J. Tagueu,Cameroon,72,Clube Sport Marítimo,€4M,ST
C. Baeza,Chile,72,Colo-Colo,€4.2M,CM
K. Acosta,United States,72,Colorado Rapids,€4.5M,CM
T. Howard,United States,72,Colorado Rapids,€210K,GK
J. Meram,Iraq,72,Columbus Crew SC,€3M,LM
Aythami Artiles,Spain,72,Córdoba CF,€1.8M,LCB
A. Benali,Libya,72,Crotone,€3.6M,CAM
M. Rohdén,Sweden,72,Crotone,€3.2M,CM
A. Cordaz,Italy,72,Crotone,€725K,GK
Simy,Nigeria,72,Crotone,€3.9M,ST
R. Alvarado,Mexico,72,Cruz Azul,€4.2M,CAM
A. Mena,Ecuador,72,Cruz Azul,€2.9M,RW
M. Cauteruccio,Uruguay,72,Cruz Azul,€2.8M,ST
Jessé Ledeiro,Brazil,72,Cruzeiro,€2.9M,CAM
Otávinho Vila,Brazil,72,Cruzeiro,€950K,LDM
Mauro Riboas,Brazil,72,Cruzeiro,€3.3M,RAM
J. Puncheon,England,72,Crystal Palace,€2.4M,CM
D. Riascos,Colombia,72,Dalian YiFang FC,€2.5M,ST
N. Mushekwi,Zimbabwe,72,Dalian YiFang FC,€3M,ST
R. Canouse,United States,72,DC United,€3.9M,RDM
P. Arriola,United States,72,DC United,€4.2M,RM
L. Miranda,Argentina,72,Defensa y Justicia,€3.6M,CDM
F. Cerro,Argentina,72,Defensa y Justicia,€2.9M,CM
E. Unsain,Argentina,72,Defensa y Justicia,€3.2M,GK
R. Delgado,Argentina,72,Defensa y Justicia,€2.5M,LB
A. Barboza,Argentina,72,Defensa y Justicia,€3.5M,LCB
L. Martínez,Argentina,72,Defensa y Justicia,€4M,RCB
D. Banguero,Colombia,72,Deportes Tolima,€2.5M,LB
Y. Orozco,Venezuela,72,Deportes Tolima,€3.3M,LW
M. Pérez,Colombia,72,Deportes Tolima,€3.3M,ST
Adrián Marín,Spain,72,Deportivo Alavés,€4.1M,LB
Vigaray,Spain,72,Deportivo Alavés,€3.6M,RB
C. Carbonero,Colombia,72,Deportivo Cali,€3.2M,CM
Dani Giménez,Spain,72,Deportivo de La Coruña,€1.3M,GK
Carlos Fernández,Spain,72,Deportivo de La Coruña,€5M,LS
David Simón,Spain,72,Deportivo de La Coruña,€2.5M,RB
Pedro Sánchez,Spain,72,Deportivo de La Coruña,€2.7M,RM
Quique,Spain,72,Deportivo de La Coruña,€3.2M,RS
R. Salinas,Mexico,72,Deportivo Toluca,€2.2M,RB
J. Ledley,Wales,72,Derby County,€2.1M,CDM
T. Lawrence,Wales,72,Derby County,€4.3M,LM
R. Keogh,Republic of Ireland,72,Derby County,€2.1M,RCB
H. Wilson,Wales,72,Derby County,€5.5M,RW
M. Waghorn,England,72,Derby County,€3.2M,ST
M. Abeid,Algeria,72,Dijon FCO,€3.2M,CDM
F. Sammaritano,France,72,Dijon FCO,€2.4M,LM
B. Jeannot,France,72,Dijon FCO,€3.8M,ST
T. Doumbia,Mali,72,Dinamo Zagreb,€2.5M,CDM
D. Livakovi?,Croatia,72,Dinamo Zagreb,€3.4M,GK
M. Orši?,Croatia,72,Dinamo Zagreb,€3.8M,LM
M. Šitum,Croatia,72,Dinamo Zagreb,€3.7M,LM
P. Stojanovi?,Slovenia,72,Dinamo Zagreb,€3.6M,RB
S. Ortega,Germany,72,DSC Arminia Bielefeld,€2.9M,GK
J. Börner,Germany,72,DSC Arminia Bielefeld,€2.6M,RCB
M. Shaparenko,Ukraine,72,Dynamo Kyiv,€6M,CAM
A. Shabanov,Ukraine,72,Dynamo Kyiv,€3.4M,CB
B. Hrgota,Sweden,72,Eintracht Frankfurt,€4M,ST
S. Uçan,Turkey,72,Empoli,€4.1M,CM
D. Maietta,Italy,72,Empoli,€725K,LCB
G. Di Lorenzo,Italy,72,Empoli,€3.4M,RB
F. Eboa Eboa,Cameroon,72,En Avant de Guingamp,€3.8M,CB
G. Fofana,France,72,En Avant de Guingamp,€3.5M,CDM
L. Phiri,South Africa,72,En Avant de Guingamp,€4.2M,CM
M. Thuram,France,72,En Avant de Guingamp,€4.6M,LM
J. Schunke,Argentina,72,Estudiantes de La Plata,€2.1M,RCB
F. Zuqui,Argentina,72,Estudiantes de La Plata,€3.6M,RM
J. Kenny,England,72,Everton,€3.7M,RB
R. Koolwijk,Netherlands,72,Excelsior,€1.8M,LDM
J. Mattheij,Netherlands,72,Excelsior,€3.3M,RCB
J. Morávek,Czech Republic,72,FC Augsburg,€3.1M,CM
Aleñá,Spain,72,FC Barcelona,€6M,CM
P. Aránguiz,Chile,72,FC Dallas,€4.8M,CAM
C. Gruezo,Ecuador,72,FC Dallas,€3.7M,CDM
S. Mosquera,Colombia,72,FC Dallas,€4.6M,LM
R. Lamah,Belgium,72,FC Dallas,€2.9M,LM
V. Jovanovi?,Serbia,72,FC Girondins de Bordeaux,€3.6M,CB
I. Lewczuk,Poland,72,FC Girondins de Bordeaux,€1.3M,CB
A. Mendy,France,72,FC Girondins de Bordeaux,€4.2M,ST
M. Mahi,Morocco,72,FC Groningen,€4.1M,ST
K. Kerschbaumer,Austria,72,FC Ingolstadt 04,€3.6M,RDM
T. Pledl,Germany,72,FC Ingolstadt 04,€3.9M,RM
D. Lezcano,Paraguay,72,FC Ingolstadt 04,€3.2M,ST
N. Boilesen,Denmark,72,FC København,€3.1M,LB
P. Ankersen,Denmark,72,FC København,€2.6M,RB
V. Le Goff,France,72,FC Lorient,€2.5M,LB
J. Cabot,France,72,FC Lorient,€4.3M,RW
A. Gerndt,Sweden,72,FC Lugano,€2.8M,LS
J. Boye,Ghana,72,FC Metz,€2.1M,LCB
I. Balliu,Albania,72,FC Metz,€3.1M,RB
F. Boulaya,Algeria,72,FC Metz,€3.9M,RW
H. Diallo,Senegal,72,FC Metz,€4.6M,ST
A. Scholz,Denmark,72,FC Midtjylland,€3.4M,CB
João Pedro,Brazil,72,FC Porto,€4.1M,RB
A. Walke,Germany,72,FC Red Bull Salzburg,€725K,GK
X. Schlager,Austria,72,FC Red Bull Salzburg,€5.5M,LCM
Sin Jin Ho,Korea Republic,72,FC Seoul,€3M,LCM
P. Kasami,Switzerland,72,FC Sion,€3.7M,CAM
T. Barnetta,Switzerland,72,FC St. Gallen,€1.9M,CAM
M. Møller Dæhli,Norway,72,FC St. Pauli,€4.2M,LM
M. Morishige,Japan,72,FC Tokyo,€2.1M,LCB
S. van de Streek,Netherlands,72,FC Utrecht,€3.8M,CAM
R. Strieder,Germany,72,FC Utrecht,€3.3M,CDM
J. van Overeem,Netherlands,72,FC Utrecht,€3.9M,CDM
T. Letschert,Netherlands,72,FC Utrecht,€3.3M,RCB
S. Gustafson,Sweden,72,FC Utrecht,€4.2M,RCM
J. Bahebeck,France,72,FC Utrecht,€4M,ST
M. Frey,Switzerland,72,Fenerbahçe SK,€4.3M,ST
J. Bijlow,Netherlands,72,Feyenoord,€3.9M,GK
F. Ceccherini,Italy,72,Fiorentina,€3.4M,CB
C. Nørgaard,Denmark,72,Fiorentina,€3.7M,CDM
K. Diks,Netherlands,72,Fiorentina,€3.7M,RB
Hugo Rubiães,Brazil,72,Fluminense,€950K,CDM
Carleto Costinha,Brazil,72,Fluminense,€3.3M,RCM
C. Galano,Italy,72,Foggia,€3.3M,RS
A. Hoffmann,Germany,72,Fortuna Düsseldorf,€3.4M,CB
M. Sobottka,Germany,72,Fortuna Düsseldorf,€3.6M,CDM
A. Morales,United States,72,Fortuna Düsseldorf,€3.1M,CM
R. Wolf,Germany,72,Fortuna Düsseldorf,€2M,GK
K. Karaman,Turkey,72,Fortuna Düsseldorf,€4.1M,LM
M. Ducksch,Germany,72,Fortuna Düsseldorf,€4.1M,ST
L. Ariaudo,Italy,72,Frosinone,€2.4M,CB
C. Molinaro,Italy,72,Frosinone,€875K,LB
E. Hallfreðsson,Iceland,72,Frosinone,€1.5M,LCM
S. Perica,Croatia,72,Frosinone,€4.2M,ST
C. Christie,Republic of Ireland,72,Fulham,€3.2M,RCM
A. Çal?k,Turkey,72,Galatasaray SK,€3.5M,CB
M. Higashiguchi,Japan,72,Gamba Osaka,€1.8M,GK
Marcão,Brazil,72,GD Chaves,€3.6M,LCB
N. Maraš,Serbia,72,GD Chaves,€3.9M,RCB
D. Bessa,Italy,72,Genoa,€3.9M,CM
L. Cabrera,Uruguay,72,Getafe CF,€3.2M,LCB
Rober Ibáñez,Spain,72,Getafe CF,€3.9M,RM
V. Ayala,Paraguay,72,Gimnasia y Esgrima La Plata,€2.9M,CM
Albentosa,Spain,72,Gimnàstic de Tarragona,€2.4M,CB
Manu Del Moral,Spain,72,Gimnàstic de Tarragona,€1.6M,LS
F. Angileri,Argentina,72,Godoy Cruz,€3.7M,LB
T. Cardona,Argentina,72,Godoy Cruz,€3.6M,LCB
L. Abecasis,Argentina,72,Godoy Cruz,€2.5M,RB
A. González,Argentina,72,Godoy Cruz,€4.2M,RW
S. ?urkowski,Poland,72,Górnik Zabrze,€5.5M,LCM
Angulo,Spain,72,Górnik Zabrze,€1.6M,LS
A. Biyogo Poko,Gabon,72,Göztepe SK,€3.9M,RDM
N. Aguirre,Argentina,72,Granada CF,€3.2M,CM
R. Holzhauser,Austria,72,Grasshopper Club Zürich,€3.4M,CDM
R. Sigurjónsson,Iceland,72,Grasshopper Club Zürich,€3.1M,CM
Paulao Junqueiras,Brazil,72,Grêmio,€3M,ST
E. López,Mexico,72,Guadalajara,€4.1M,CAM
J. Pereira,Mexico,72,Guadalajara,€2.1M,RCB
A. Zaldívar,Mexico,72,Guadalajara,€4.2M,ST
Zeng Cheng,China PR,72,Guangzhou Evergrande Taobao FC,€1.9M,GK
Yu Hanchao,China PR,72,Guangzhou Evergrande Taobao FC,€2.7M,LM
Gao Lin,China PR,72,Guangzhou Evergrande Taobao FC,€2.5M,ST
Su Boyang,China PR,72,Guizhou Hengfeng FC,€2.4M,GK
B. Trawally,Gambia,72,Guizhou Hengfeng FC,€4.3M,LS
N. Jelavi?,Croatia,72,Guizhou Hengfeng FC,€2.5M,RS
Marcão,Brazil,72,Gyeongnam FC,€4.2M,ST
J. Pollersbeck,Germany,72,Hamburger SV,€3.2M,GK
P. Lasogga,Germany,72,Hamburger SV,€3.9M,ST
Hwang Hee Chan,Korea Republic,72,Hamburger SV,€5M,ST
J. Wiland,Sweden,72,Hammarby IF,€210K,GK
S. Martinsson Ngouali,Gabon,72,Hammarby IF,€3.7M,LCM
J. Hamad,Sweden,72,Hammarby IF,€3.3M,LM
E. Prib,Russia,72,Hannover 96,€3.1M,LM
S. Naismith,Scotland,72,Heart of Midlothian,€2.7M,CAM
R. Matos,Brazil,72,Hellas Verona,€3.9M,RW
A. Esswein,Germany,72,Hertha BSC,€3.1M,RM
M. Milligan,Australia,72,Hibernian,€1.8M,LCB
K. Schindler,Ghana,72,Holstein Kiel,€3.9M,RS
R. Quioto,Honduras,72,Houston Dynamo,€3.3M,LM
P. Billing,Denmark,72,Huddersfield Town,€4.7M,LCM
R. van La Parra,Netherlands,72,Huddersfield Town,€3.3M,LM
I. Mbenza,Belgium,72,Huddersfield Town,€4.6M,ST
C. Obasi,Nigeria,72,IF Elfsborg,€2.5M,ST
A. Johansson,Sweden,72,IFK Norrköping,€425K,CB
A. Fransson,Sweden,72,IFK Norrköping,€4.1M,RCM
F. Silva,Chile,72,Independiente,€2.4M,CM
F. Gaibor,Ecuador,72,Independiente,€3.6M,RDM
L. Castellanos,Colombia,72,Independiente Santa Fe,€1.3M,GK
C. Arboleda,Colombia,72,Independiente Santa Fe,€1.7M,RB
B. Perlaza,Colombia,72,Independiente Santa Fe,€3.2M,RDM
Enzo Merques,Brazil,72,Internacional,€875K,LB
B. Bia?kowski,Poland,72,Ipswich Town,€2M,GK
T. Romanczuk,Poland,72,Jagiellonia Bia?ystok,€3.1M,LDM
I. Runje,Croatia,72,Jagiellonia Bia?ystok,€2.6M,RCB
Lee Chang Min,Korea Republic,72,Jeju United FC,€4.1M,CM
Kim Min Jae,Korea Republic,72,Jeonbuk Hyundai Motors,€3.8M,CB
Kim Jin Su,Korea Republic,72,Jeonbuk Hyundai Motors,€3M,LB
Choi Chul Soon,Korea Republic,72,Jeonbuk Hyundai Motors,€2M,LB
Hong Jeong Ho,Korea Republic,72,Jeonbuk Hyundai Motors,€2.5M,RCB
S. Nakamura,Japan,72,Júbilo Iwata,€0,CAM
S. Viera,Uruguay,72,Junior FC,€725K,GK
L. Díaz,Colombia,72,Junior FC,€5.5M,LM
M. Piedrahita,Colombia,72,Junior FC,€1.2M,RB
C. Pinsoglio,Italy,72,Juventus,€2.2M,GK
M. Kean,Italy,72,Juventus,€6.5M,ST
Renato Neto,Brazil,72,KAA Gent,€3.6M,CM
N. Asare,Ghana,72,KAA Gent,€2M,LB
B. Parker,South Africa,72,Kaizer Chiefs,€2.5M,CAM
L. Castro,Colombia,72,Kaizer Chiefs,€3.1M,LS
D. Mili?evi?,Bosnia Herzegovina,72,KAS Eupen,€2.4M,CAM
Kwoun Sun Tae,Korea Republic,72,Kashima Antlers,€1.6M,GK
M. Olunga,Kenya,72,Kashiwa Reysol,€4.4M,ST
Josué Sá,Portugal,72,Kasimpa?a SK,€3.3M,CB
S. Ben Youssef,Tunisia,72,Kasimpa?a SK,€2.7M,LCB
D. Pavelka,Czech Republic,72,Kasimpa?a SK,€3.1M,LCM
T. Chery,Netherlands,72,Kayserispor,€2.9M,CAM
Varela,Portugal,72,Kayserispor,€1.9M,LM
D. Maroh,Slovenia,72,KFC Uerdingen 05,€2.1M,LCB
J. Jones,Northern Ireland,72,Kilmarnock,€4.2M,LM
K. Boyd,Scotland,72,Kilmarnock,€1.6M,ST
I. Seck,Senegal,72,KRC Genk,€2.5M,CDM
J. Uronen,Finland,72,KRC Genk,€3.5M,LB
S. Gakpé,Togo,72,KSV Cercle Brugge,€2.7M,RM
T. Kaminski,Belgium,72,KV Kortrijk,€2.8M,GK
T. Chevalier,France,72,KV Kortrijk,€2.7M,LS
I. Mboyo,Belgium,72,KV Kortrijk,€2.8M,ST
S. Coopman,Belgium,72,KV Oostende,€4.2M,CAM
Fernando Canesín,Brazil,72,KV Oostende,€3.8M,RAM
C. Peralta,Colombia,72,La Equidad,€3.2M,ST
S. Lletget,United States,72,LA Galaxy,€3.8M,RCM
A. Murgia,Italy,72,Lazio,€4.2M,CM
Patric,Spain,72,Lazio,€3.2M,RB
Z. Ferhat,Algeria,72,Le Havre AC,€3.9M,RM
Pedro Tiba,Portugal,72,Lech Pozna?,€3M,LDM
C. Gytkjær,Denmark,72,Lech Pozna?,€3.2M,ST
L. Haraslín,Slovakia,72,Lechia Gda?sk,€4.6M,LM
E. Alioski,FYR Macedonia,72,Leeds United,€3.7M,LM
A. Malarz,Poland,72,Legia Warszawa,€210K,GK
M. James,England,72,Leicester City,€3.3M,CM
E. Jakupovi?,Switzerland,72,Leicester City,€1.6M,GK
Aitor,Spain,72,Levante UD,€2.6M,GK
W. Zimmerman,United States,72,Los Angeles FC,€3.4M,LCB
D. Rossi,Uruguay,72,Los Angeles FC,€5.5M,LW
Rafael Leão,Portugal,72,LOSC Lille,€6.5M,ST
Rui Fonte,Portugal,72,LOSC Lille,€3.2M,ST
Munir,Morocco,72,Málaga CF,€2.4M,GK
Juankar,Spain,72,Málaga CF,€2.5M,LB
Renato Santos,Portugal,72,Málaga CF,€3.3M,RM
Ontiveros,Spain,72,Málaga CF,€5M,RM
O. Lewicki,Sweden,72,Malmö FF,€3.3M,LCM
S. Rieks,Denmark,72,Malmö FF,€2.7M,LWB
C. Strandberg,Sweden,72,Malmö FF,€4.3M,ST
Diogo Dalot,Portugal,72,Manchester United,€4.7M,RB
M. Günok,Turkey,72,Medipol Ba?ak?ehir FK,€2.4M,GK
R. Shotton,England,72,Middlesbrough,€2.4M,RB
S. Downing,England,72,Middlesbrough,€1.9M,RW
J. Hugill,England,72,Middlesbrough,€3.9M,ST
J. Mauri,Italy,72,Milan,€4.3M,CM
S. Montoya,Colombia,72,Millonarios FC,€3.7M,CAM
G. Hauche,Argentina,72,Millonarios FC,€2.8M,LM
K. Molino,Trinidad & Tobago,72,Minnesota United FC,€3.1M,CAM
Fernando Bob,Brazil,72,Minnesota United FC,€2.3M,RDM
T. Moulin,France,72,MKE Ankaragücü,€2.8M,CDM
E. ?en,Belgium,72,MKE Ankaragücü,€2.4M,CDM
E. Özgenç,Turkey,72,MKE Ankaragücü,€1.2M,RB
I. Ávila,Peru,72,Monarcas Morelia,€3.3M,ST
J. Carrizo,Argentina,72,Monterrey,€1.3M,GK
S. Medina,Colombia,72,Monterrey,€3.1M,RWB
D. Le Tallec,France,72,Montpellier HSC,€2.8M,LCM
Fábio Pacheco,Portugal,72,Moreirense FC,€2.3M,CDM
Chiquinho,Portugal,72,Moreirense FC,€4.3M,LCM
Pedro Nuno,Portugal,72,Moreirense FC,€4.4M,LW
M. Abarhoun,Morocco,72,Moreirense FC,€2.4M,RCB
K. Wolze,Germany,72,MSV Duisburg,€2.5M,LB
E. Ofori,Ghana,72,New York City FC,€4.2M,CM
M. Rzatkowski,Germany,72,New York Red Bulls,€3.1M,CM
M. Murillo,Panama,72,New York Red Bulls,€3.9M,RB
T. Adams,United States,72,New York Red Bulls,€4.8M,RCM
R. Vargas,Venezuela,72,Newcastle Jets,€2.7M,CAM
I. Hayden,England,72,Newcastle United,€3.7M,CDM
R. Elliot,Republic of Ireland,72,Newcastle United,€1.8M,GK
J. Murphy,England,72,Newcastle United,€4.6M,RM
B. Sarmiento,Argentina,72,Newell's Old Boys,€3.1M,CAM
F. Fontanini,Argentina,72,Newell's Old Boys,€2.8M,LCB
V. Figueroa,Argentina,72,Newell's Old Boys,€1.6M,LM
I. Piris,Paraguay,72,Newell's Old Boys,€2.4M,RB
Luís Leal,São Tomé & Príncipe,72,Newell's Old Boys,€2.8M,ST
P. Bernardoni,France,72,Nîmes Olympique,€3.9M,GK
T. Savanier,France,72,Nîmes Olympique,€3.8M,LCM
D. Bouanga,Gabon,72,Nîmes Olympique,€4.2M,LM
A. Briançon,France,72,Nîmes Olympique,€3.4M,RCB
G. Hanley,Scotland,72,Norwich City,€3.1M,CB
T. Trybull,Germany,72,Norwich City,€3.2M,CDM
M. Vran?i?,Bosnia Herzegovina,72,Norwich City,€3M,CM
A. Tettey,Norway,72,Norwich City,€1.8M,RDM
E. Buendía,Argentina,72,Norwich City,€4.4M,RM
B. Osborn,England,72,Nottingham Forest,€4.3M,LM
Diogo Gonçalves,Portugal,72,Nottingham Forest,€4.8M,LW
S. Byram,England,72,Nottingham Forest,€3.3M,RB
R. Walter,France,72,OGC Nice,€4.2M,CM
B. Srarfi,Tunisia,72,OGC Nice,€4.6M,RW
M. Camara,Guinea,72,Olympiacos CFP,€4.4M,LDM
P. Cissé,Senegal,72,Olympiacos CFP,€4.4M,RCB
B. Kamara,France,72,Olympique de Marseille,€6M,CB
D. Arias,Colombia,72,Once Caldas,€1.3M,CDM
